               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.024607,            0.013393,                   0,             0.96334,             0.96581,             0.98138,             0.75737,            0.026033,           0.0091241,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.024396,            0.013112,                   0,             0.94178,             0.92308,             0.97049,             0.75307,            0.026536,           0.0097605,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.024259,            0.013311,                   0,             0.96303,             0.94872,             0.98099,             0.77472,            0.024979,           0.0093253,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.024343,            0.013511,                   0,             0.96704,             0.96581,             0.98125,             0.76539,            0.025447,           0.0096095,                   0,            0.003862,            0.003862,            0.003862
                 126,             0.02438,            0.012373,                   0,             0.95658,             0.94151,             0.98223,             0.76678,            0.025361,           0.0091988,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.023548,            0.012674,                   0,             0.93289,             0.95047,             0.96632,             0.74988,            0.026898,           0.0094935,                   0,            0.003763,            0.003763,            0.003763
                 128,             0.02405,            0.012738,                   0,             0.96452,             0.92947,             0.97669,              0.7466,            0.025923,            0.010038,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.023317,            0.012192,                   0,             0.97318,             0.93028,             0.97877,             0.76168,            0.025078,           0.0091337,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.023664,            0.012579,                   0,             0.93982,             0.96581,             0.97492,             0.76482,            0.024983,           0.0095844,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.023357,            0.012786,                   0,             0.93333,             0.95718,             0.97595,             0.76468,            0.024906,           0.0091747,                   0,            0.003565,            0.003565,            0.003565
                 132,             0.02317,            0.012088,                   0,             0.95477,             0.94872,             0.98612,             0.76923,             0.02388,           0.0090542,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.023969,            0.012789,                   0,             0.96563,             0.96047,             0.98467,             0.76301,            0.024962,           0.0088491,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.023522,             0.01223,                   0,             0.95761,             0.96581,             0.98208,              0.7755,            0.024574,           0.0088762,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.023539,            0.012615,                   0,             0.98382,             0.94017,             0.98211,             0.77258,            0.024097,           0.0088847,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.023625,            0.012413,                   0,              0.9305,             0.95726,             0.97961,             0.77423,            0.024767,           0.0086889,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,              0.0232,             0.01304,                   0,             0.94939,             0.96195,             0.97864,             0.76579,            0.025059,           0.0089687,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.022441,            0.011914,                   0,             0.95817,             0.97896,             0.98165,             0.77542,            0.025479,           0.0090513,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.022953,            0.012559,                   0,             0.98178,             0.92106,              0.9827,             0.78022,            0.025585,           0.0087039,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.022725,            0.011806,                   0,             0.95681,             0.95726,             0.98973,             0.77292,            0.024975,           0.0086219,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.022545,             0.01212,                   0,             0.97185,             0.92308,             0.98554,             0.77321,            0.024507,           0.0086832,                   0,             0.00307,             0.00307,             0.00307
